intent,actor,country,FinalRisk
LGBTQ,Israel,Ethiopia,0.07092555914907193
LGBTQ,Iran,Senegal,0.004877097815973684
LGBTQ,Iran,DRC,0.00850426869725349
LGBTQ,Iran,CoteIvoire,0.012750000000000001
LGBTQ,Iran,Ethiopia,0.004522227049021911
LGBTQ,NonState,Senegal,0.005226711535801143
LGBTQ,NonState,DRC,0.02586719029504384
LGBTQ,NonState,CoteIvoire,0.043750000000000004
LGBTQ,NonState,Ethiopia,0.07530646018033205
Religious,China,Senegal,0.23280950424256197
Religious,China,DRC,0.22780881212358134
Religious,China,CoteIvoire,0.08750000000000001
Religious,China,Ethiopia,0.2278451269909297
Religious,France,Senegal,0.17048213611310914
Religious,France,DRC,0.3216587988898404
Religious,France,CoteIvoire,0.515
Religious,France,Ethiopia,0.15019362478734494
Religious,UnitedStates,Senegal,0.4531562639772477
Religious,UnitedStates,DRC,0.28683692993357424
Religious,UnitedStates,CoteIvoire,0.527109375
Religious,UnitedStates,Ethiopia,0.4238270584661165
Religious,Russia,Senegal,0.012928706023754266
Religious,Russia,DRC,0.2002144588935912
Religious,Russia,CoteIvoire,0.07222826086956521
Religious,Russia,Ethiopia,0.3000575134095152
Religious,Rwanda,Senegal,0.005412472936436426
Religious,Rwanda,DRC,0.2527988182037243
Religious,Rwanda,CoteIvoire,0.043750000000000004
Religious,Rwanda,Ethiopia,0.00013372401929114287
Religious,Saudi,Senegal,0.013125042923748319
Religious,Saudi,DRC,0.0008995569158828794
Religious,Saudi,CoteIvoire,0.00875
Religious,Saudi,Ethiopia,0.19010831645562584
Religious,Turkey,Senegal,0.0032321837947464245
Religious,Turkey,DRC,0.0013993570374857393
Religious,Turkey,CoteIvoire,0.0175
Religious,Turkey,Ethiopia,0.1900835153814811
Religious,UAE,Senegal,0.0129356235615355
Religious,UAE,DRC,0.0013993570374857393
Religious,UAE,CoteIvoire,0.0175
Religious,UAE,Ethiopia,0.2276191732066687
Religious,Israel,Senegal,0.0021866959968465383
Religious,Israel,DRC,0.0013993570374857393
Religious,Israel,CoteIvoire,0.0175
Religious,Israel,Ethiopia,0.20260664490538471
Religious,Iran,Senegal,0.0020322665355633944
Religious,Iran,DRC,0.0013993570374857393
Religious,Iran,CoteIvoire,0.0175
Religious,Iran,Ethiopia,0.005133055399194687
Religious,NonState,Senegal,0.0031313724723432386
Religious,NonState,DRC,0.7563474407186056
Religious,NonState,CoteIvoire,0.043750000000000004
Religious,NonState,Ethiopia,0.13838591060038316
ElectionInfluence,China,Senegal,0.198731883828559
ElectionInfluence,China,DRC,0.1872641001426935
ElectionInfluence,China,CoteIvoire,0.07020493728092934
ElectionInfluence,China,Ethiopia,0.15785714285714286
ElectionInfluence,France,Senegal,0.05875401777273587
ElectionInfluence,France,DRC,0.3213888888888889
ElectionInfluence,France,CoteIvoire,0.34535089746552655
ElectionInfluence,France,Ethiopia,0.05494578395937228
ElectionInfluence,UnitedStates,Senegal,0.2899242219135512
ElectionInfluence,UnitedStates,DRC,0.28655172413793106
ElectionInfluence,UnitedStates,CoteIvoire,0.527109375
ElectionInfluence,UnitedStates,Ethiopia,0.28276666666666667
ElectionInfluence,Russia,Senegal,0.0125
ElectionInfluence,Russia,DRC,0.19989299610894942
ElectionInfluence,Russia,CoteIvoire,0.07222826086956521
ElectionInfluence,Russia,Ethiopia,0.20013333333333333
ElectionInfluence,Rwanda,Senegal,0.005000000000000001
ElectionInfluence,Rwanda,DRC,0.2525
ElectionInfluence,Rwanda,CoteIvoire,0.043750000000000004
ElectionInfluence,Rwanda,Ethiopia,0.0
ElectionInfluence,Saudi,Senegal,0.00511904761904762
ElectionInfluence,Saudi,DRC,0.0005
ElectionInfluence,Saudi,CoteIvoire,0.00875
ElectionInfluence,Saudi,Ethiopia,0.1548888888888889
ElectionInfluence,Turkey,Senegal,0.0025
ElectionInfluence,Turkey,DRC,0.001
ElectionInfluence,Turkey,CoteIvoire,0.0175
ElectionInfluence,Turkey,Ethiopia,0.1272
ElectionInfluence,UAE,Senegal,0.003347568657092467
ElectionInfluence,UAE,DRC,0.001
ElectionInfluence,UAE,CoteIvoire,0.0175
ElectionInfluence,UAE,Ethiopia,0.15193333333333334
ElectionInfluence,Israel,Senegal,0.0015
ElectionInfluence,Israel,DRC,0.001
ElectionInfluence,Israel,CoteIvoire,0.0175
ElectionInfluence,Israel,Ethiopia,0.13513333333333333
ElectionInfluence,Iran,Senegal,0.001
ElectionInfluence,Iran,DRC,0.001
ElectionInfluence,Iran,CoteIvoire,0.0175
ElectionInfluence,Iran,Ethiopia,0.0011733333333333333
ElectionInfluence,NonState,Senegal,0.0025
ElectionInfluence,NonState,DRC,0.7562499999999999
ElectionInfluence,NonState,CoteIvoire,0.043750000000000004
ElectionInfluence,NonState,Ethiopia,0.13827067669172932
MilitaryPresence,China,Senegal,0.25490862473305065
MilitaryPresence,China,DRC,0.2285676707774924
MilitaryPresence,China,CoteIvoire,0.009167899237346892
MilitaryPresence,China,Ethiopia,0.181
MilitaryPresence,France,Senegal,0.008357142857142856
MilitaryPresence,France,DRC,0.33
MilitaryPresence,France,CoteIvoire,0.16802634619828982
MilitaryPresence,France,Ethiopia,0.0016
MilitaryPresence,UnitedStates,Senegal,0.34594868985453187
MilitaryPresence,UnitedStates,DRC,0.33
MilitaryPresence,UnitedStates,CoteIvoire,0.66
MilitaryPresence,UnitedStates,Ethiopia,0.3304
MilitaryPresence,Russia,Senegal,0.0
MilitaryPresence,Russia,DRC,0.33
MilitaryPresence,Russia,CoteIvoire,0.1
MilitaryPresence,Russia,Ethiopia,0.2502
MilitaryPresence,Rwanda,Senegal,0.0
MilitaryPresence,Rwanda,DRC,0.33
MilitaryPresence,Rwanda,CoteIvoire,0.0
MilitaryPresence,Rwanda,Ethiopia,0.0
MilitaryPresence,Saudi,Senegal,0.003273809523809524
MilitaryPresence,Saudi,DRC,0.0
MilitaryPresence,Saudi,CoteIvoire,0.0
MilitaryPresence,Saudi,Ethiopia,0.227
MilitaryPresence,Turkey,Senegal,0.0
MilitaryPresence,Turkey,DRC,0.0
MilitaryPresence,Turkey,CoteIvoire,0.0
MilitaryPresence,Turkey,Ethiopia,0.1658
MilitaryPresence,UAE,Senegal,0.0019523809523809524
MilitaryPresence,UAE,DRC,0.0
MilitaryPresence,UAE,CoteIvoire,0.0
MilitaryPresence,UAE,Ethiopia,0.16540000000000002
MilitaryPresence,Israel,Senegal,0.0
MilitaryPresence,Israel,DRC,0.0
MilitaryPresence,Israel,CoteIvoire,0.0
MilitaryPresence,Israel,Ethiopia,0.1652
MilitaryPresence,Iran,Senegal,0.0
MilitaryPresence,Iran,DRC,0.0
MilitaryPresence,Iran,CoteIvoire,0.0
MilitaryPresence,Iran,Ethiopia,8e-05
MilitaryPresence,NonState,Senegal,0.0
MilitaryPresence,NonState,DRC,1.0
MilitaryPresence,NonState,CoteIvoire,0.0
MilitaryPresence,NonState,Ethiopia,0.33
ResourceDependency,China,Senegal,0.05870982624192936
ResourceDependency,China,DRC,0.38754128932350007
ResourceDependency,China,CoteIvoire,0.04095773384526642
ResourceDependency,China,Ethiopia,0.366
ResourceDependency,France,Senegal,0.02160093676814988
ResourceDependency,France,DRC,0.05
ResourceDependency,France,CoteIvoire,0.10302634619828982
ResourceDependency,France,Ethiopia,0.05739337518943494
ResourceDependency,UnitedStates,Senegal,0.2101784548675867
ResourceDependency,UnitedStates,DRC,0.05
ResourceDependency,UnitedStates,CoteIvoire,0.0
ResourceDependency,UnitedStates,Ethiopia,0.041490909090909085
ResourceDependency,Russia,Senegal,0.0
ResourceDependency,Russia,DRC,0.1
ResourceDependency,Russia,CoteIvoire,0.0
ResourceDependency,Russia,Ethiopia,0.0502
ResourceDependency,Rwanda,Senegal,0.0
ResourceDependency,Rwanda,DRC,0.0
ResourceDependency,Rwanda,CoteIvoire,0.0
ResourceDependency,Rwanda,Ethiopia,0.0
ResourceDependency,Saudi,Senegal,0.003273809523809524
ResourceDependency,Saudi,DRC,0.0
ResourceDependency,Saudi,CoteIvoire,0.0
ResourceDependency,Saudi,Ethiopia,0.137625
ResourceDependency,Turkey,Senegal,0.0
ResourceDependency,Turkey,DRC,0.0
ResourceDependency,Turkey,CoteIvoire,0.0
ResourceDependency,Turkey,Ethiopia,0.3008
ResourceDependency,UAE,Senegal,0.0019523809523809524
ResourceDependency,UAE,DRC,0.0
ResourceDependency,UAE,CoteIvoire,0.0
ResourceDependency,UAE,Ethiopia,0.2504
ResourceDependency,Israel,Senegal,0.0
ResourceDependency,Israel,DRC,0.0
ResourceDependency,Israel,CoteIvoire,0.0
ResourceDependency,Israel,Ethiopia,0.0502
ResourceDependency,Iran,Senegal,0.0
ResourceDependency,Iran,DRC,0.0
ResourceDependency,Iran,CoteIvoire,0.0
ResourceDependency,Iran,Ethiopia,8e-05
ResourceDependency,NonState,Senegal,0.05
ResourceDependency,NonState,DRC,0.05
ResourceDependency,NonState,CoteIvoire,0.05
ResourceDependency,NonState,Ethiopia,0.05
SocialFragility,China,Senegal,0.25198804231358085
SocialFragility,China,DRC,0.3097549952235446
SocialFragility,China,CoteIvoire,0.19628910045057946
SocialFragility,China,Ethiopia,0.2027189338482957
SocialFragility,France,Senegal,0.27696823881754085
SocialFragility,France,DRC,0.35101563235920785
SocialFragility,France,CoteIvoire,0.28856858454035644
SocialFragility,France,Ethiopia,0.32537971306219227
SocialFragility,UnitedStates,Senegal,0.33508488187484503
SocialFragility,UnitedStates,DRC,0.26668508118821943
SocialFragility,UnitedStates,CoteIvoire,0.500897984534578
SocialFragility,UnitedStates,Ethiopia,0.3496884353741497
SocialFragility,Russia,Senegal,0.12783673469387757
SocialFragility,Russia,DRC,0.38767905073409703
SocialFragility,Russia,CoteIvoire,0.11638209134582755
SocialFragility,Russia,Ethiopia,0.33504829931972785
SocialFragility,Rwanda,Senegal,0.06391836734693879
SocialFragility,Rwanda,DRC,0.40700000000000003
SocialFragility,Rwanda,CoteIvoire,0.07751020408163264
SocialFragility,Rwanda,Ethiopia,0.0388265306122449
SocialFragility,Saudi,Senegal,0.06821853741496599
SocialFragility,Saudi,DRC,0.008642857142857143
SocialFragility,Saudi,CoteIvoire,0.012918367346938775
SocialFragility,Saudi,Ethiopia,0.1842601543711396
SocialFragility,Turkey,Senegal,0.10653061224489797
SocialFragility,Turkey,DRC,0.017285714285714286
SocialFragility,Turkey,CoteIvoire,0.012918367346938775
SocialFragility,Turkey,Ethiopia,0.21407074829931974
SocialFragility,UAE,Senegal,0.04177061766948896
SocialFragility,UAE,DRC,0.017285714285714286
SocialFragility,UAE,CoteIvoire,0.012918367346938775
SocialFragility,UAE,Ethiopia,0.26557278911564625
SocialFragility,Israel,Senegal,0.05326530612244899
SocialFragility,Israel,DRC,0.017285714285714286
SocialFragility,Israel,CoteIvoire,0.012918367346938775
SocialFragility,Israel,Ethiopia,0.16190204081632653
SocialFragility,Iran,Senegal,0.04261224489795919
SocialFragility,Iran,DRC,0.017285714285714286
SocialFragility,Iran,CoteIvoire,0.012918367346938775
SocialFragility,Iran,Ethiopia,0.004207032614379553
SocialFragility,NonState,Senegal,0.22371428571428573
SocialFragility,NonState,DRC,0.7765714285714286
SocialFragility,NonState,CoteIvoire,0.28420408163265304
SocialFragility,NonState,Ethiopia,0.39802027507079607
