intent,actor,country,FinalRisk
Economic,China,Senegal,0.059577364230449466
Economic,China,DRC,0.4023921442015994
Economic,China,CoteIvoire,0.04095773384526642
Economic,China,Ethiopia,0.37950102776334343
Economic,France,Senegal,0.021993345972034513
Economic,France,DRC,0.05117985810095021
Economic,France,CoteIvoire,0.10302634619828982
Economic,France,Ethiopia,0.11334566588506523
Economic,UnitedStates,Senegal,0.22257856342171073
Economic,UnitedStates,DRC,0.07303553184607463
Economic,UnitedStates,CoteIvoire,0.0
Economic,UnitedStates,Ethiopia,0.12172503345147315
Economic,Russia,Senegal,0.0004842227249815875
Economic,Russia,DRC,0.10112661757739261
Economic,Russia,CoteIvoire,0.0
Economic,Russia,Ethiopia,0.07887650848551064
Economic,Rwanda,Senegal,0.0004900517554992499
Economic,Rwanda,DRC,0.024247928259025917
Economic,Rwanda,CoteIvoire,0.0
Economic,Rwanda,Ethiopia,0.08370721271351386
Economic,Saudi,Senegal,0.018922297510511884
Economic,Saudi,DRC,0.024247928259025917
Economic,Saudi,CoteIvoire,0.0
Economic,Saudi,Ethiopia,0.20981200756381652
Economic,Turkey,Senegal,0.00037050352985664624
Economic,Turkey,DRC,0.024247928259025917
Economic,Turkey,CoteIvoire,0.0
Economic,Turkey,Ethiopia,0.30944603241880253
Economic,UAE,Senegal,0.0024758883086826076
Economic,UAE,DRC,0.024247928259025917
Economic,UAE,CoteIvoire,0.0
Economic,UAE,Ethiopia,0.2734740423780142
Economic,Israel,Senegal,0.0011182765010744333
Economic,Israel,DRC,0.024247928259025917
Economic,Israel,CoteIvoire,0.0
Economic,Israel,Ethiopia,0.12970511063529547
Economic,Iran,Senegal,0.0006549765239469707
Economic,Iran,DRC,0.024247928259025917
Economic,Iran,CoteIvoire,0.0
Economic,Iran,Ethiopia,0.08378051613649679
Economic,NonState,Senegal,0.06491489210318123
Economic,NonState,DRC,0.07303553184607463
Economic,NonState,CoteIvoire,0.05
Economic,NonState,Ethiopia,0.12952185207783817
Sovereignty,China,Senegal,0.2104892758394984
Sovereignty,China,DRC,0.19598353795671408
Sovereignty,China,CoteIvoire,0.07020493728092934
Sovereignty,China,Ethiopia,0.1582255096941715
Sovereignty,France,Senegal,0.09745901891834327
Sovereignty,France,DRC,0.3289469571966396
Sovereignty,France,CoteIvoire,0.34535089746552655
Sovereignty,France,Ethiopia,0.05560378441783768
Sovereignty,UnitedStates,Senegal,0.3122047494873908
Sovereignty,UnitedStates,DRC,0.29420595459088844
Sovereignty,UnitedStates,CoteIvoire,0.527109375
Sovereignty,UnitedStates,Ethiopia,0.28322621657036606
Sovereignty,Russia,Senegal,0.07502919385490428
Sovereignty,Russia,DRC,0.2081496580458402
Sovereignty,Russia,CoteIvoire,0.07222826086956521
Sovereignty,Russia,Ethiopia,0.20062736141918977
Sovereignty,Rwanda,Senegal,0.01971739613960171
Sovereignty,Rwanda,DRC,0.2605195544052191
Sovereignty,Rwanda,CoteIvoire,0.043750000000000004
Sovereignty,Rwanda,Ethiopia,0.0006407258033639243
Sovereignty,Saudi,Senegal,0.03633609962432377
Sovereignty,Saudi,DRC,0.011223136626109041
Sovereignty,Saudi,CoteIvoire,0.00875
Sovereignty,Saudi,Ethiopia,0.15543037338448734
Sovereignty,Turkey,Senegal,0.045536426993040564
Sovereignty,Turkey,DRC,0.011717772375670767
Sovereignty,Turkey,CoteIvoire,0.0175
Sovereignty,Turkey,Ethiopia,0.12779279800400203
Sovereignty,UAE,Senegal,0.014402593399175082
Sovereignty,UAE,DRC,0.011717772375670767
Sovereignty,UAE,CoteIvoire,0.0175
Sovereignty,UAE,Ethiopia,0.1525064241518885
Sovereignty,Israel,Senegal,0.037131177723407745
Sovereignty,Israel,DRC,0.011717772375670767
Sovereignty,Israel,CoteIvoire,0.0175
Sovereignty,Israel,Ethiopia,0.135687475723136
Sovereignty,Iran,Senegal,0.018767086289823057
Sovereignty,Iran,DRC,0.011717772375670767
Sovereignty,Iran,CoteIvoire,0.0175
Sovereignty,Iran,Ethiopia,0.0018133073517546438
Sovereignty,NonState,Senegal,0.03379923163242897
Sovereignty,NonState,DRC,0.7588650720886583
Sovereignty,NonState,CoteIvoire,0.043750000000000004
Sovereignty,NonState,Ethiopia,0.13882280890468826
LGBTQ,China,Senegal,0.06930783922915731
LGBTQ,China,DRC,0.08331604830328485
LGBTQ,China,CoteIvoire,0.05955882352941177
LGBTQ,China,Ethiopia,0.09310220323447975
LGBTQ,France,Senegal,0.13729851346317132
LGBTQ,France,DRC,0.09434758072047184
LGBTQ,France,CoteIvoire,0.6100000000000001
LGBTQ,France,Ethiopia,0.12300779386369524
LGBTQ,UnitedStates,Senegal,0.09476929343694411
LGBTQ,UnitedStates,DRC,0.10561101574287594
LGBTQ,UnitedStates,CoteIvoire,0.09898437500000001
LGBTQ,UnitedStates,Ethiopia,0.1489662585158959
LGBTQ,Russia,Senegal,0.008969484853715105
LGBTQ,Russia,DRC,0.03469987024297902
LGBTQ,Russia,CoteIvoire,0.015416666666666669
LGBTQ,Russia,Ethiopia,0.09437167187078438
LGBTQ,Rwanda,Senegal,0.003926451579830603
LGBTQ,Rwanda,DRC,0.09630448576601759
LGBTQ,Rwanda,CoteIvoire,0.021550000000000003
LGBTQ,Rwanda,Ethiopia,0.001330976994758609
LGBTQ,Saudi,Senegal,0.011376521339172128
LGBTQ,Saudi,DRC,0.008808119156824017
LGBTQ,Saudi,CoteIvoire,0.008111702127659574
LGBTQ,Saudi,Ethiopia,0.04740394287384985
LGBTQ,Turkey,Senegal,0.005506088265666965
LGBTQ,Turkey,DRC,0.0165813390773435
LGBTQ,Turkey,CoteIvoire,0.01638888888888889
LGBTQ,Turkey,Ethiopia,0.04733090919055656
LGBTQ,UAE,Senegal,0.008455698119660586
LGBTQ,UAE,DRC,0.01675625339352984
LGBTQ,UAE,CoteIvoire,0.01618421052631579
LGBTQ,UAE,Ethiopia,0.11802831570857722
LGBTQ,Israel,Senegal,0.004256584999858049
LGBTQ,Israel,DRC,0.008790287193738332
LGBTQ,Israel,CoteIvoire,0.009797297297297298
