id,intent,tone,conf
52894,SocialFragility,Alarmist,0.34502973494791644
52895,SocialFragility,Sensationalist,0.3418834129880377
52896,SocialFragility,Alarmist,0.3382481562186881
52897,SocialFragility,Alarmist,0.3611540838736328
52898,SocialFragility,Alarmist,0.38726202881333555
52899,SocialFragility,Alarmist,0.3490836960863009
52900,SocialFragility,Sensationalist,0.3887833107519419
53208,SocialFragility,Cynical,0.44321697855283176
53180,SocialFragility,Cynical,0.46230908189284703
53217,SocialFragility,Alarmist,0.4175370168721667
53218,SocialFragility,Sensationalist,0.44503865513838897
53257,SocialFragility,Sensationalist,0.3436202894004605
53258,SocialFragility,Alarmist,0.3567109624618537
53259,SocialFragility,Sensationalist,0.44874360925225476
53260,SocialFragility,Factual,0.7005447566850458
53332,SocialFragility,Alarmist,0.3201054094221176
53333,Economic,Cynical,0.4249063702924806
53334,SocialFragility,Cynical,0.3652007414751769
53335,Economic,Alarmist,0.37187809971306807
53372,Other,neutral,0.0
53373,Economic,Factual,0.42530993543649553
53374,Economic,Sensationalist,0.43469009873938264
53375,SocialFragility,Sensationalist,0.44481218437674075
53376,Economic,Sensationalist,0.435681015253067
53377,Economic,Alarmist,0.7383820365817538
53378,Economic,Cynical,0.41702985763549805
53510,SocialFragility,Sensationalist,0.4467433488564174
53512,SocialFragility,Sensationalist,0.4527396559715271
53385,Economic,Factual,0.39956108093432235
53201,SocialFragility,Factual,0.4560500649322746
52901,Economic,Alarmist,0.30850369315627624
52902,SocialFragility,Sensationalist,0.3655585740683388
52903,Economic,Alarmist,0.39048205009630393
52904,Economic,Alarmist,0.31996764409477796
52905,SocialFragility,Alarmist,0.3273958771480565
52906,SocialFragility,Alarmist,0.6316092399335336
52907,SocialFragility,Sensationalist,0.39207601185111207
52908,Economic,Cynical,0.32124452162633055
52909,Economic,Alarmist,0.2996500526420924
52910,Economic,Alarmist,0.39048205009630393
52911,SocialFragility,Factual,0.46813358981268016
52912,Economic,Alarmist,0.44936711536767043
52913,Economic,Cynical,0.32124452162633055
52914,Economic,Cynical,0.32124452162633055
52915,Economic,Cynical,0.32124452162633055
52916,Economic,Cynical,0.32124452162633055
52917,Economic,Cynical,0.3094519688174572
52918,Economic,Cynical,0.32124452162633055
52919,Economic,Alarmist,0.32074607826875406
52921,SocialFragility,Alarmist,0.38634524169066176
53531,Sovereignty,Factual,1.0
53518,SocialFragility,Sensationalist,0.38308630544220745
53517,SocialFragility,Cynical,0.41100215911865234
53389,Economic,Sensationalist,0.4307433068752289
53388,Economic,Sensationalist,0.3891562819480896
53387,SocialFragility,Alarmist,0.31536985120806177
53386,SocialFragility,Cynical,0.3741382768571944
53384,SocialFragility,Alarmist,0.5358740202157337
53383,SocialFragility,Sensationalist,0.4633142363701128
53382,Economic,Factual,0.3374487807470627
53381,SocialFragility,Factual,0.37832066069497633
53380,Economic,Sensationalist,0.3962174952030182
53379,SocialFragility,Alarmist,0.337641447483213
53338,SocialFragility,Alarmist,0.4051315790209087
53337,SocialFragility,Cynical,0.35319652135944213
53336,Economic,Alarmist,0.4997718746824659
53261,SocialFragility,Alarmist,0.4570618205597202
53222,Economic,Cynical,0.6061565537247333
53221,SocialFragility,Alarmist,0.36244753829246507
53220,SocialFragility,Alarmist,0.3746810257434845
53219,Economic,Cynical,0.3100536229348021
53181,Sovereignty,Alarmist,0.6643743666023321
52941,SocialFragility,Sensationalist,0.3323891153882221
52940,Economic,Alarmist,0.380153307798006
52939,Economic,Alarmist,0.380153307798006
52938,Economic,Alarmist,0.380153307798006
52937,Economic,Alarmist,0.380153307798006
52936,Economic,Alarmist,0.380153307798006
52935,Economic,Alarmist,0.380153307798006
52926,SocialFragility,Alarmist,0.5430642533286613
52927,Economic,Alarmist,0.3324607232551437
52928,Other,neutral,0.0
52929,SocialFragility,Sensationalist,0.6760359159623917
52930,SocialFragility,Alarmist,0.4740032430151029
