name,parent_organisation,,website,country,city,content_sharing_agreements,linkedin_profile,facebook_profile,x_profile,instagram_profile
Lactuacho,,,https://www.lactuacho.com/,Senegal,Guediawaye,,,,,
Rfi,,,https://www.rfi.fr/en/,France,Paris ,,https://www.linkedin.com/company/radio-france-internationale/,https://web.facebook.com/RFI.English ,https://x.com/RFI_En,
